Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;Date de création;Date dernière MAJ;geo_shape;geo_point_2d
CP001670;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;place du Palais Royal;n°2;2020-06-29;2024-06-30;RESTREINTE;Maintien d'une file de circulation .Lors des livraisons cette voie pourra être fermée.;2;2;;2020-07-07;2020-07-07;"{""type"": ""Polygon"", ""coordinates"": [[[2.337232888790253, 48.86225759717169], [2.337069926441364, 48.86231023365322], [2.337195298961625, 48.86251913700107], [2.337272622259834, 48.86253622203806], [2.33737576324122, 48.86250823886393], [2.337232888790253, 48.86225759717169]]]}";48.862402953,2.33722319986
CP001716;;75010;11;2;EDP;ENTRETIEN_RESEAU;Renouvellement de conduite, puits n°1;rue de l'Aqueduc;du n°16 au n°10;2020-09-14;2021-06-11;RESTREINTE;Maintien D'une file de circulation;2;2;;2020-07-31;2020-07-31;"{""type"": ""Polygon"", ""coordinates"": [[[2.360097300074197, 48.88053953721415], [2.3594982837585112, 48.880256744503605], [2.359485130020579, 48.88029950477967], [2.36002123473709, 48.880564115832186], [2.360097300074197, 48.88053953721415]]]}";48.880419738,2.35978625464
CP001756;252704;75005;12;2;Eau de Paris;ENTRETIEN_RESEAU;Renouvellement de conduite;18 rue Maitre Albert;;2020-11-02;2020-12-07;BARRAGE_TOTAL;"à l'angle de rue des Grands Degrés.
Inversion de sens de circulation de la rue Maitre Albert entre rue des Grands Degrés et Quai Montebello.
Barrage du contre sens Cyclable angle Fréderic Sauton";2;2;;2020-10-07;2020-12-01;"{""type"": ""Polygon"", ""coordinates"": [[[2.349467094646691, 48.85042896031407], [2.349471024236666, 48.85041110876942], [2.34938821870186, 48.85040114063185], [2.349385060611628, 48.850423014693895], [2.349467094646691, 48.85042896031407]]]}";48.8504158971,2.34942651273
CP000096;;75017;9;3;P&MA;REAMENAGEMENT_SECTEUR;;Secteur Clichy Batignolles;;2012-01-01;2020-12-31;RESTREINTE;Réduction de la circulation selon les phases;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/2016_03_ParvisPalaisJusticeParisAndreSuares_17eme_Amenagement_ParisBatignolles.pdf;2016-12-22;2019-12-05;"{""type"": ""Polygon"", ""coordinates"": [[[2.305121208960457, 48.8940286761297], [2.306522926559501, 48.89488788926956], [2.307181898219225, 48.89522989252469], [2.308576235152954, 48.89568081765374], [2.309601215445032, 48.89605176013496], [2.3098657832304372, 48.89627412643228], [2.309465678000686, 48.896669056306116], [2.310352783610319, 48.89700162042], [2.310823441196159, 48.89628425850809], [2.313755984810872, 48.8946208923878], [2.313140300204301, 48.89438921941096], [2.318274213537186, 48.89152784444235], [2.31495108759188, 48.8879417785466], [2.3141679382599403, 48.887451481165265], [2.31264158381925, 48.88776481550689], [2.311174389960455, 48.88791205882132], [2.3106288746160972, 48.888228322505476], [2.304765364068656, 48.89024235328741], [2.303889522378694, 48.890296313875666], [2.301837390504391, 48.89186527168115], [2.301833319695339, 48.89186524794684], [2.305121208960457, 48.8940286761297]]]}";48.89180784,2.31039285956
CP001258;;75016;13;1;Ville de Paris;TRAVAUX_OUVRAGE;Réfection des fontaines;Place de la porte de Saint-Cloud;;2019-04-01;2020-12-21;RESTREINTE;Modification des files de circulation;2;2;;2019-04-12;2020-09-28;"{""type"": ""Polygon"", ""coordinates"": [[[2.257486957245414, 48.83806737128245], [2.257538233163559, 48.837893217875155], [2.257515940617972, 48.837745448759726], [2.257444131292786, 48.837648371351975], [2.257290813694932, 48.83756421010967], [2.257026761275225, 48.83754646514891], [2.256782579789057, 48.83756105332812], [2.2566188720056, 48.83763519329679], [2.256535793563881, 48.83775814959181], [2.256448036905335, 48.83792402463351], [2.256412752909357, 48.83811706676252], [2.256540641571937, 48.83827354452427], [2.256714941020956, 48.83831220633448], [2.256893344233369, 48.83834820964555], [2.257104925459869, 48.83833878713682], [2.257333649894702, 48.83826773396365], [2.257486957245414, 48.83806737128245]]]}";48.8379455178,2.25698233009
CP001360;;75008;9;3;Neximmo;REHABILITATION_IMMEUBLE;;rue du Colisée;n°31;2019-07-29;2021-05-28;RESTREINTE;Maintien d'une file de circulation de 4ml.;2;2;;2019-06-04;2019-06-07;"{""type"": ""Polygon"", ""coordinates"": [[[2.30978691514315, 48.871334904755656], [2.3098290243351842, 48.87128755701422], [2.309498739549594, 48.871169055862445], [2.309478192340823, 48.87122247704222], [2.30978691514315, 48.871334904755656]]]}";48.8712534948,2.30964912852
CP001795;;75016;13;1;STV;REFECTION_CHAUSSEE;;Avenue Mozart;du n°31 au n°29;2020-11-30;2020-12-18;RESTREINTE;neutralisation du couloir  bus, déviation des cyclistes dans la circulation générale au droit de l'emprise .;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR STVSO Mozart.pdf;2020-11-10;2020-11-10;"{""type"": ""Polygon"", ""coordinates"": [[[2.270786024894687, 48.85584381296711], [2.270774767362892, 48.8558751545051], [2.271053648199216, 48.85604627871464], [2.271085598253922, 48.85603076872585], [2.270786024894687, 48.85584381296711]]]}";48.8559476267,2.27092317003
CP001797;293255;75016;13;2;RATP;TRAVAUX_OUVRAGE;Réhabilitation local technique.;Rues Pierre Guérin / Jean de la Fontaine;;2020-11-23;2021-11-30;RESTREINTE;Maintien d'une file de circulation minimum.;2;2;;2020-11-13;2020-11-13;"{""type"": ""Polygon"", ""coordinates"": [[[2.266386436195289, 48.84881488896209], [2.266194015369641, 48.848908892437336], [2.266263280099233, 48.84898308413215], [2.2664648750784, 48.84900573598978], [2.266520378397765, 48.8489049443749], [2.266505543491631, 48.84880610124515], [2.266386436195289, 48.84881488896209]]]}";48.8489089114,2.26638165709
CP001803;;75015;13;2;Climespace;RACCORDEMENT_RESEAU;Raccordement en terre et Egouts;Rue de Lourmel;Rue de Lourmel entre Bd de Grenelle et av. Emile ZOLA;2021-01-01;2021-03-26;RESTREINTE;"Maintien d'une voie de Circulation de 3.20m + Maintien du contre sens Vélo
Barrage de rue Juge du 15/01 au 19/02/21";2;1;;2020-11-20;2020-11-20;"{""type"": ""Polygon"", ""coordinates"": [[[2.292426991215731, 48.85059795180039], [2.288100576788219, 48.84560976450845], [2.287985635587437, 48.845684270206235], [2.292328904437392, 48.85062959582582], [2.292410569600976, 48.85060859576312], [2.292426991215731, 48.85059795180039]]]}";48.8479843323,2.29008311307
CP001784;;75016;13;2;CPCU;INSPECTION_SONDAGE_RESEAU;Inspection du réseau.;Rue Jean Richepin;;2020-08-31;2020-12-07;RESTREINTE;Maintien d'une file de circulation.;2;2;;2020-11-03;2020-11-03;"{""type"": ""Polygon"", ""coordinates"": [[[2.274797364147759, 48.86144343394946], [2.274650252972355, 48.86149085662779], [2.273813633015394, 48.86168172441513], [2.273853487588696, 48.861741016984844], [2.27484934885344, 48.86150816795012], [2.274797364147759, 48.86144343394946]]]}";48.8615959829,2.27433069771
